cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
1500,"All Saints","153/b Via del Babuino 00187 Roma","George Edmund Street",,1880&ndash;1887,,"Church of England clergy",,,"Anglican Communion / Church of England","All Saints",,,N/A,"06 3600 1881",N/A,,http://www.allsaintsrome.org
3128,"Angelo Custode","Via del Tritone (present site)",,,1624,,,,"Guardian Angel","Roman Catholic","Guardian Angel",,,,,,Demolished,
4880,"Annunciazione della Villa Flaminia","Viale del Vignola 56",,,"1960's",,,1968,"Blessed Virgin Mary (Annunciation)","Roman Catholic","Annunciation at the Villa Flaminia",,,,,,,
3144,"Ascensione di Nostro Signore Gesù Cristo","Via Manfredonia 5",,,1954,,,,Ascension,"Roman Catholic","Ascension of Our Lord Jesus Christ",,,,,,,
3145,"Assunzione di Maria","Viale Spartico 11",,,"1960's (unfinished)",,,,"Blessed Virgin Mary (Assumption)","Roman Catholic","Assumption of Mary",,,,,,,
1932,"Bambin Gesù all'Esquilino","Via Urbana 1 00184 Roma","Carlo Buratti, Ferdinando Fuga",,"1731 t0 1736",,"Oblates of the Child Jesus",1736,"Jesus Christ as the Holy Child","Roman Catholic","The Holy Child at the Esquiline",,,,"06 48 83 700",,,
4076,"Basilica Anonima della Via Ardeatina","Via Ardeatina, 600 m from ''Domine Quo Vadis'' (driveway from Via Appia Antica)",,,"4th century",,,,"Unknown, perhaps Pope St Mark","Roman Catholic","Anonymous Basilica on the Ardeatine Way",,,,,,,
4091,"Basilica dei Gordiani","Villa Gordiani, Via Prenestina",,,"4th century",,,,Unknown,"Roman Catholic","Basilica of the Gordiani",,,,,,Ruined,
3748,"Basilica di Santo Stefano Protomartire a Via Latina","Tombs of the Via Latina Archeological Park, Via dell'Arco di Travertino",,,"5th century",,,,"Stephen the Protomartyr","Roman Catholic","St Stephen the Protomartyr on the Latin Way, Basilica of",,,,,,Ruined,
3799,"Basilica e Catacomba di San Valentino","Viale Maresciallo Pilsudski",,,"4th century",,,,Valentine,"Roman Catholic","St Valentine, Basilica of",,,,,,"Deconsecrated and ruined",
4095,"Basilica e Catacomba di Sant'Ermete","Via Antonio Bertoloni 24",,,"Late 4th century",,,,"Hermes of Rome","Roman Catholic","St Hermes",,,,,,Deconsecrated,
4075,"Basilica e Catacombe di Generosa","Via delle Catacombe di Generosa",,,,,,,"Portuensian Martyrs (Simplicius, Faustinus and Beatrice)","Roman Catholic","Basilica and Catacombs of Generosa",,,,,,,
